NAME,NO.,SPONSOR,MAKE,TEAM
Ross Chastain,1,AdventHealth,Chevrolet,TRACKHOUSE RACING TEAM
Aric Almirola,10,Smithfield,Ford,Stewart-Haas Racing
Denny Hamlin,11,FedEx,Toyota,Joe Gibbs Racing
Ryan Blaney,12,Menards,Ford,Team Penske
Chandler Smith,13,,,
Chase Briscoe,14,Mahindra Tractors,Ford,Stewart-Haas Racing
J.J. Yeley,51,Nurtec,Ford,RICK WARE RACING
Todd Gilliland,36,Wellcare,Ford,Front Row Motorsports
Riley Herbst,15,Adrenaline Shoc,Ford,RICK WARE RACING
AJ Allmendinger,16,Adrenaline Shoc,Chevrolet,Kaulig Racing
Chris Buescher,17,Fastenal,Ford,RFK Racing
Martin Truex Jr.,19,Bass Pro Shops,Toyota,Joe Gibbs Racing
Austin Cindric,2,Discount Tire,Ford,Team Penske
Christopher Bell,20,Rheem,Toyota,Joe Gibbs Racing
Harrison Burton,21,Motorcraft,Ford,Wood Brothers
Joey Logano,22,Shell-Pennzoil,Ford,Team Penske
Bubba Wallace,23,McDonalds,Toyota,23XI Racing
William Byron,24,Axalta,Chevrolet,Hendrick Motorsports
Austin Dillon,3,Bass Pro Shops,Chevrolet,Richard Childress Racing
Justin Haley,31,LeafFilter Gutter Protection,Chevrolet,Kaulig Racing
Michael McDowell,34,Love's Travel Stops,Ford,Front Row Motorsports
Zane Smith,38,First Phase,Ford,Front Row Motorsports
Kevin Harvick,4,GEARWRENCH,Ford,Stewart-Haas Racing
Ryan Preece,41,Haas Automation,Ford,Stewart-Haas Racing
Noah Gragson,42,Black Rifle Coffee,Chevrolet,Legacy Motor Club
Erik Jones,43,Focus Factor,Chevrolet,Legacy Motor Club
Tyler Reddick,45,Monster Energy,Toyota,23XI Racing
Ricky Stenhouse Jr.,47,Kroger,Chevrolet,JTG Daugherty Racing
Alex Bowman,48,Ally,Chevrolet,Hendrick Motorsports
Kyle Larson,5,HendrickCars.com,Chevrolet,Hendrick Motorsports
Conor Daly,50,Dent Wizard,Chevrolet,
Cody Ware,51,Nurtec,Ford,RICK WARE RACING
Ty Gibbs,54,Monster Energy,Toyota,Joe Gibbs Racing
Brad Keselowski,6,Kohler Power Reserve,Ford,RFK Racing
Austin Hill,62,Dent Wizard,Chevrolet,
Travis Pastrana,67,,,
Corey LaJoie,7,Built Bar,Chevrolet,Spire Motorsports
Ty Dillon,77,Smithfield,Chevrolet,Spire Motorsports
B.J. McLeod,78,Power Slap Rumble,Ford,Live Fast Motorsports
Kyle Busch,8,Netspend,Chevrolet,Richard Childress Racing
Chase Elliott,9,NAPA Auto Parts,Chevrolet,Hendrick Motorsports
Jimmie Johnson,84,Carvana,Chevrolet,Legacy Motor Club
Josh Berry,9,NAPA Auto Parts,Chevrolet,Hendrick Motorsports
Daniel Suarez,99,3CHI,Chevrolet,TRACKHOUSE RACING TEAM
