NAME	NO	SPONSOR	MAKE	TEAM	SALARY
Ross Chastain	1	AdventHealth	Chevrolet	TRACKHOUSE RACING TEAM	12000
Aric Almirola	10	Smithfield	Ford	Stewart-Haas Racing	8000
Denny Hamlin	11	FedEx	Toyota	Joe Gibbs Racing	11000
Ryan Blaney	12	Menards	Ford	Team Penske	12000
Chase Briscoe	14	Mahindra Tractors	Ford	Stewart-Haas Racing	10000
J.J. Yeley	51	Nurtec	Ford	RICK WARE RACING	3000
Todd Gilliland	36	Wellcare	Ford	Front Row Motorsports	8000
Riley Herbst	15	Adrenaline Shoc	Ford	RICK WARE RACING	3000
AJ Allmendinger	16	Adrenaline Shoc	Chevrolet	Kaulig Racing	6000
Chris Buescher	17	Fastenal	Ford	RFK Racing	10000
Martin Truex Jr.	19	Bass Pro Shops	Toyota	Joe Gibbs Racing	11000
Austin Cindric	2	Discount Tire	Ford	Team Penske	9000
Christopher Bell	20	Rheem	Toyota	Joe Gibbs Racing	12000
Harrison Burton	21	Motorcraft	Ford	Wood Brothers	7000
Joey Logano	22	Shell-Pennzoil	Ford	Team Penske	11000
Bubba Wallace	23	McDonalds	Toyota	23XI Racing	9000
William Byron	24	Axalta	Chevrolet	Hendrick Motorsports	11000
Austin Dillon	3	Bass Pro Shops	Chevrolet	Richard Childress Racing	9000
Justin Haley	31	LeafFilter Gutter Protection	Chevrolet	Kaulig Racing	9000
Michael McDowell	34	Love's Travel Stops	Ford	Front Row Motorsports	10000
Zane Smith	38	First Phase	Ford	Front Row Motorsports	3000
Kevin Harvick	4	GEARWRENCH	Ford	Stewart-Haas Racing	11000
Ryan Preece	41	Haas Automation	Ford	Stewart-Haas Racing	3000
Noah Gragson	42	Black Rifle Coffee	Chevrolet	Legacy Motor Club	5000
Erik Jones	43	Focus Factor	Chevrolet	Legacy Motor Club	9000
Tyler Reddick	45	Monster Energy	Toyota	23XI Racing	11000
Ricky Stenhouse Jr.	47	Kroger	Chevrolet	JTG Daugherty Racing	10000
Alex Bowman	48	Ally	Chevrolet	Hendrick Motorsports	11000
Kyle Larson	5	HendrickCars.com	Chevrolet	Hendrick Motorsports	11000
Conor Daly	50	Dent Wizard	Chevrolet		3000
Cody Ware	51	Nurtec	Ford	RICK WARE RACING	5000
Ty Gibbs	54	Monster Energy	Toyota	Joe Gibbs Racing	6000
Brad Keselowski	6	Kohler Power Reserve	Ford	RFK Racing	10000
Austin Hill	62	Dent Wizard	Chevrolet		3000
Travis Pastrana	67				3000
Corey LaJoie	7	Built Bar	Chevrolet	Spire Motorsports	8000
Ty Dillon	77	Smithfield	Chevrolet	Spire Motorsports	6000
B.J. McLeod	78	Power Slap Rumble	Ford	Live Fast Motorsports	4000
Kyle Busch	8	Netspend	Chevrolet	Richard Childress Racing	12000
Chase Elliott	9	NAPA Auto Parts	Chevrolet	Hendrick Motorsports	8000
Jimmie Johnson	84	Carvana	Chevrolet	Legacy Motor Club	3000
Josh Berry	9	NAPA Auto Parts	Chevrolet	Hendrick Motorsports	3000
Daniel Suarez	99	3CHI	Chevrolet	TRACKHOUSE RACING TEAM	10000
