TRACK	RACE_DATE	CONFIGURATION
Charlotte Motor Speedway	2021-10-10	Road course
POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	109	10	8	45	5	0
2	Tyler Reddick	8	Chevrolet	109	29	0	35	0	0
3	Chris Buescher	17	Ford	109	16	1	34	0	0
4	Kyle Busch	18	Toyota	109	9	22	47	14	0
5	Denny Hamlin	11	Toyota	109	1	25	32	0	0
6	Matt DiBenedetto	21	Ford	109	30	0	31	0	0
7	Joey Logano	22	Ford	109	3	4	42	12	0
8	Christopher Bell	20	Toyota	109	4	0	29	0	0
9	Ryan Blaney	12	Ford	109	6	10	43	15	0
10	Alex Bowman	48	Chevrolet	109	12	0	29	2	0
11	William Byron	24	Chevrolet	109	11	30	30	4	0
12	Chase Elliott	9	Chevrolet	109	8	2	44	19	0
13	Daniel Suarez	99	Chevrolet	109	25	0	24	0	0
14	Bubba Wallace	23	Toyota	109	15	0	23	0	0
15	Austin Dillon	3	Chevrolet	109	14	0	22	0	0
16	Michael McDowell	34	Ford	109	19	0	23	2	0
17	Erik Jones	43	Chevrolet	109	17	0	20	0	0
18	Cole Custer	41	Ford	109	23	0	19	0	0
19	Ryan Preece	37	Chevrolet	109	31	0	18	0	0
20	Brad Keselowski	2	Ford	109	2	0	21	4	0
21	Ricky Stenhouse Jr.	47	Chevrolet	109	18	0	16	0	0
22	Chase Briscoe	14	Ford	109	22	0	15	0	0
23	Ross Chastain	42	Chevrolet	109	27	0	14	0	0
24	Aric Almirola	10	Ford	109	21	0	13	0	0
25	Kurt Busch	1	Chevrolet	109	13	2	17	5	0
26	Anthony Alfredo	38	Ford	109	20	0	11	0	0
27	Joey Hand	52	Chevrolet	109	36	0	10	0	0
28	Josh Bilicki	15	Chevrolet	109	37	0	0	0	0
29	Martin Truex Jr.	19	Toyota	109	5	0	18	10	0
30	Quin Houff	00	Chevrolet	109	28	0	7	0	0
31	Scott Heckert	78	Ford	109	35	0	6	0	0
32	Timmy Hill	66	Ford	108	39	0	0	0	0
33	Kevin Harvick	4	Ford	98	7	0	13	9	0
34	Garrett Smithley	53	Ford	96	34	0	0	0	0
35	Corey LaJoie	7	Chevrolet	93	26	0	2	0	0
36	Cody Ware	51	Chevrolet	90	32	0	0	0	0
37	Justin Haley	77	Chevrolet	66	38	0	0	0	0
38	AJ Allmendinger	16	Chevrolet	57	33	5	0	0	0
39	Ryan Newman	6	Ford	19	24	0	1	0	0
