TRACK	RACE_DATE	CONFIGURATION
Charlotte Motor Speedway	2021-05-30	?
POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	400	1	327	70	30	0
2	Chase Elliott	9	Chevrolet	400	3	22	60	25	0
3	Kyle Busch	18	Toyota	400	20	1	54	20	0
4	William Byron	24	Chevrolet	400	4	19	58	25	0
5	Alex Bowman	48	Chevrolet	400	7	5	43	11	0
6	Austin Dillon	3	Chevrolet	400	6	1	41	10	0
7	Denny Hamlin	11	Toyota	400	14	3	36	6	0
8	Chris Buescher	17	Ford	400	27	0	32	3	0
9	Tyler Reddick	8	Chevrolet	400	15	6	42	14	0
10	Kevin Harvick	4	Ford	400	5	0	40	13	0
11	Brad Keselowski	2	Ford	400	13	6	26	0	0
12	Ricky Stenhouse Jr.	47	Chevrolet	400	2	0	27	2	0
13	Ryan Blaney	12	Ford	400	11	2	24	0	0
14	Bubba Wallace	23	Toyota	400	18	0	25	2	0
15	Daniel Suarez	99	Chevrolet	398	9	0	22	0	0
16	Erik Jones	43	Chevrolet	398	19	0	21	0	0
17	Joey Logano	22	Ford	398	16	0	20	0	0
18	Matt DiBenedetto	21	Ford	398	22	2	19	0	0
19	Corey LaJoie	7	Chevrolet	398	26	0	18	0	0
20	Michael McDowell	34	Ford	398	24	0	17	0	0
21	Cole Custer	41	Ford	397	23	0	16	0	0
22	Aric Almirola	10	Ford	397	31	0	15	0	0
23	Chase Briscoe	14	Ford	397	21	0	14	0	0
24	Christopher Bell	20	Toyota	397	17	3	13	0	0
25	Anthony Alfredo	38	Ford	397	29	3	12	0	0
26	Ryan Preece	37	Chevrolet	397	28	0	11	0	0
27	Ryan Newman	6	Ford	396	25	0	10	0	0
28	Justin Haley	77	Chevrolet	395	30	0	0	0	0
29	Martin Truex Jr.	19	Toyota	391	8	0	12	4	0
30	Cody Ware	53	Chevrolet	389	34	0	0	0	0
31	B.J. McLeod	78	Ford	389	33	0	0	0	0
32	Quin Houff	00	Chevrolet	389	32	0	5	0	0
33	James Davison	15	Chevrolet	388	35	0	4	0	0
34	Garrett Smithley	51	Chevrolet	387	36	0	0	0	0
35	Josh Bilicki	52	Ford	382	37	0	2	0	0
36	David Starr	66	Toyota	369	38	0	0	0	0
37	Ross Chastain	42	Chevrolet	359	10	0	1	0	0
38	Kurt Busch	1	Chevrolet	139	12	0	1	0	0
